1	Politicians that decide the plans from state to state
2	US State Energy Policies
3	Different energy laws in the US
4	Enron press releases
5	Enron media statements
6	How is Enron presented in the media
7	Whats the difference between us states role in Erons  business model
8	Enron laws
9	Enron legal obligations US states 
10	Geroge W.Bush Enron
11	George W Bush Enron links benefit
12	How George W Bush and Enrons connection lead to success
13	Exeter bodies related to Erons buisness 
14	Connections with Enron
15	Enron partnerships links stakeholders
16	Recruitment process for Eron
17	How does the hiring process work at Enron, and what are the requirements
18	people who have worked for Enron and how they got the job
19	legal team at Enron  
20	Enron legal issues
21	Whats the story of the Enron court cases and what was involved
22	enron public perceptions
23	Public opinion energy companies Enron
24	articles on Enron and peoples opinion on the energy industry
25	energy price cap origins
26	Energy price caps rules public opinion 
27	Energy price caps and rules
28	what legal action was taken against Enron and why
29	Enron legal history
30	Were there any court cases against Enron and why
31	Enron scandal where are they now
32	enron scandals and take overs
33	I would like to know what the scandals were and how sensitively it was handled
34	How did the energy market come about and how does it work
35	How was the energy market of California named
36	Californian energy market
37	Enron conference appearances
38	enron confrences 
39	Enron conference subjects
40	Enron flights and airlines
41	flights booking enron employees method of booking destinations airlines employee status
42	Which flights for enron employees on which airlines
43	Bill Lockyer scandal personal life
44	Bill lockyer scandal interests
45	Details of the Bill Lockyer scandal and its affect on him
46	Enron planning
47	How does Enron organise meetings within their company 
48	Enron strategic planning and objectives
49	How reliable is the energy in the US and who is responsible for maintaining the energy grid
50	How functional is the energy system in United States
51	USA energy grid reliability
52	Enron contacts
53	Enron network companies
54	How does Enron work with the companies contacts and utilise them
55	What is the cost of natural gas now and why did the prices increase
56	natural gas explained enron
57	natural gas average costs
58	Enron privacy confidentiality staff rules
59	Enron confidential information policies
60	Was are the trading securities use within enron
61	Electric industry restructuring conference report
62	What institutions and organisations were involved and papers presented in the electric industry restructuring conference 
63	groups involved electric industry restructuring conference
64	California energy grid operator
65	More information about ensuring reliability of Californian energy grid 
66	Which companies manage the Californian power grid
67	Energy auctions price cap
68	How high prices in energy auctions are limited and who capped the prices and how they did it. 
69	how does bid mitigation work
70	Enron bolivia media coverage
71	Enron Bolivia
72	Enrons business and investment in Bolivia
73	Enron article discussions list
74	What articles are being discussed at Enron and what is the source
75	Enron articles and its authors
76	How was information like news cycles and events summarised distilled and distributed 
77	News cycle information summary
78	fully detailed summary of the information of the event and how was it distilled and distributed
79	Enron meeting minutes
80	Who attending the meetings what were they about 
81	Are there any transcripts or guest lists of the Enron meetings
82	Enron investments
83	What areas did Enron invest in and how was this done Were they successful 
84	What are the financial and earnings report of Enron during the years of the scandal
85	Enron in Sacramento
86	Enron activities and senate
87	What has Enron provided to the city of Sacramento and what personal relationships did Enron have with those in power
88	Enron procurement
89	Which department specifically handled sourcing Enrons of materials and how does it compare to other comapnies
90	show me enron documents regarding sourcings and procurement Were enron effective in what they set out to do
91	Mathematics conferences Who are Enron
92	Who spoke at the financial conference and where did they take place
93	What does Enron do at the financial mathematics conferences Where did the most recent one happen and who were the speakers at it 
94	How do Enron transfer messages
95	Enron transfer of information process
96	Confidential information Enron methods and 3rd parties 
97	Interstate gas - who is the regulator
98	Which body is involved in deciding conditions for companies involved in interstate gas transfers
99	Which Enron company decided the interstate transfer of gas 
100	Enron analysts details and history
101	What professions are there at Enron and how is the recruitment process 
102	What types of analysts were at Enron  how did these analysts join the company
103	What is Enrons relationship with the state of California how does it operate in the state and what are its assets there
104	Enron california gov reports
105	How did Enron flourish under Californias trade laws 
106	What is Kenneth Lays role in Enron how did he inherit the role and are there any investigations into him
107	Kenneth Lay investigation wiki scandal
108	How did Kenneth Lay get his position at Enron could the allegations against him be true 
109	Mellisa keans relationships with Enron members and what she done for a living
110	Mellisa Ken Enron history and relationships where is she from 
111	What was the relationship between Mellisa Kean and any members of Enron staff.  What she did for a living and where did this take place
112	What role does Vincent Kaminski play at Enron and what was his research on What are all the presentations and talks he have as part of his job description at Enron
113	What was Vincent kaminski researching at enron
114	Vincent kaminski Enron 
115	What was Jeff Skillings role and what did it consist of Why did he resign and what factors played a role in him choosing to leave Enron only after 6 months
116	Jeff Skilling role and resignation 
117	What was Jeff skillings role in Enron and why did he resign
118	What was Joanna Vidal job and what role did she play What types of events did she organise for Enron and its subjects
119	Enron events Joanna Vidal and work 
120	What events did Joanna Vidal organise for Enron
121	What US senator and state did Enron target
122	which US states were affected by the Enron
123	Senators linked to enron
124	Investor owned utilities public opinion not Enron 
125	what are IOUs and how does the public feel about them
126	Types of investor owned utilities and similar ones
127	Brussels energy industry events enron
128	Brussels energy market, Enron. Brussels events
129	History of Enrons activities in Brussels 
130	how was Paris affected by Enron
131	Enron Paris and significance of international energy industry in Paris Paris energy companies
132	History of Enrons activities in Paris
133	How does energy work in Amsterdam enron
134	what is the influence of Enron on Amsterdam and how do people in Amsterdam view the energy crisis
135	Enron Amsterdam activity local
136	Enron London offices 
137	Where in London was the Enron office located what are the laws of the area
138	Officers held by Enron in London and its influence to European operations 
139	What universities does enron work with and what do they do publishings
140	What are the papers published by Enron and through which universities
141	Enrons influence in universities and its collaborated publications 
142	Who did enron send receive letters and why 
143	subject senders and recipients of enron letters
144	who did Enron send letters to and what about
145	what type of taxes did enron pay
146	what were Enrons business tax rates as an energy supplier
147	History breakdown of Enrons tax activities 
148	Associated press enron 
149	Relationship between the associated press and Enron
150	Enron press articles company 
